ID,Tx Amplitude at -6,Tx Amplitude at -5,Tx Amplitude at -4,Tx Amplitude at -3,Tx Amplitude at -2.5,Tx Amplitude at -2,Tx Amplitude at -1.5,Tx Amplitude at -1,Tx Amplitude at -0.5,Tx Amplitude at 0,Tx Amplitude at 1,Tx Amplitude at 2,Tx Amplitude at 3,Tx Amplitude at 4,Tx Phase at -6,Tx Phase at -5,Tx Phase at -4,Tx Phase at -3,Tx Phase at -2.5,Tx Phase at -2,Tx Phase at -1.5,Tx Phase at -1,Tx Phase at -0.5,Tx Phase at 0,Tx Phase at 1,Tx Phase at 2,Tx Phase at 3,Tx Phase at 4,Label,Trial
403,up,up,up,up,up,up,up,down,level,down,down,down,down,level,up,down,up,up,up,up,level,down,down,down,down,up,down,down,No Hole,3
404,up,up,up,up,up,up,up,level,down,down,down,down,down,level,up,down,up,up,up,up,level,down,down,down,down,up,down,down,No Hole,3
405,level,up,up,up,up,up,up,level,down,down,down,down,down,level,up,down,up,up,up,up,down,level,down,down,down,up,down,down,No Hole,4
406,level,up,up,up,up,up,up,level,down,down,down,down,down,level,up,down,up,up,up,up,down,level,down,down,down,up,down,down,No Hole,4
407,level,up,up,up,up,up,up,level,down,down,down,down,down,level,up,down,up,up,up,up,down,level,down,down,down,up,down,down,No Hole,4
408,level,up,up,up,up,up,up,level,down,down,down,down,down,level,up,down,up,up,up,up,down,level,down,down,down,up,down,down,No Hole,4
409,level,up,up,up,up,up,up,level,down,down,down,down,down,level,up,down,up,up,up,up,down,level,down,down,down,up,down,down,No Hole,4
410,level,up,up,up,up,up,up,level,down,down,down,down,down,level,up,down,up,up,up,up,down,level,down,down,down,up,down,down,No Hole,4
411,level,up,up,up,up,up,up,level,down,down,down,down,down,level,up,down,up,up,up,up,down,level,down,down,down,up,down,down,No Hole,4
412,level,up,up,up,up,up,up,level,down,down,down,down,down,level,up,down,up,up,up,up,down,level,down,down,down,up,down,down,No Hole,4
413,level,up,up,up,up,up,up,level,down,down,down,down,down,level,up,down,up,up,up,up,down,level,down,down,down,up,down,down,No Hole,4
414,level,up,up,up,up,up,up,level,down,down,down,down,down,level,up,down,up,up,up,up,down,level,down,down,down,up,down,down,No Hole,4
415,level,up,up,up,up,up,up,level,down,down,down,down,down,level,up,down,up,up,up,up,down,level,down,down,down,up,down,down,No Hole,4
416,level,up,up,up,up,up,up,level,down,down,down,down,down,level,up,down,up,up,up,up,down,level,down,down,down,up,down,down,No Hole,4
417,level,up,up,up,up,up,up,level,down,down,down,down,down,level,up,down,up,up,up,up,down,level,down,down,down,up,down,down,No Hole,4
418,level,up,up,up,up,up,up,level,down,down,down,down,down,level,up,down,up,up,up,up,down,level,down,down,down,up,down,down,No Hole,4
419,level,up,up,up,up,up,up,level,down,down,down,down,down,level,up,down,up,up,up,up,down,level,down,down,down,up,down,down,No Hole,4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
