ID,Tx Amplitude at -7,Tx Amplitude at -6,Tx Amplitude at -5,Tx Amplitude at -4,Tx Amplitude at -3,Tx Amplitude at -2.5,Tx Amplitude at -2,Tx Amplitude at -1.5,Tx Amplitude at -1,Tx Amplitude at -0.5,Tx Amplitude at 0,Tx Amplitude at 1,Tx Amplitude at 2,Tx Amplitude at 3,Tx Amplitude at 4,Tx Phase at -7,Tx Phase at -6,Tx Phase at -5,Tx Phase at -4,Tx Phase at -3,Tx Phase at -2.5,Tx Phase at -2,Tx Phase at -1.5,Tx Phase at -1,Tx Phase at -0.5,Tx Phase at 0,Tx Phase at 1,Tx Phase at 2,Tx Phase at 3,Tx Phase at 4,Label,Trial
10,0.00189654,0.002079498,0.004221264,0.003738293,0.018903998,0.026516787,0.02706564,0.019330521,0.02536318,0.028693967,0.010968707,0.005199046,0.003273628,0.003090682,0.006189693,-2.054793499,-0.636796053,1.566179651,-0.126986801,0.233917499,0.17552585,0.497231928,0.84569558,0.635267795,0.374951422,0.046486717,-0.209471381,-2.938511557,0.826375721,-1.848284989,Hole,1
11,0.001902641,0.002085148,0.004225017,0.003738138,0.018896057,0.026512429,0.027064709,0.019279037,0.025397441,0.02867582,0.010950764,0.005191515,0.003303691,0.003069775,0.006184044,-2.055103086,-0.632776006,1.56674422,-0.128026674,0.234462123,0.174956277,0.49638578,0.844769098,0.635210256,0.374173315,0.050583649,-0.207788467,-2.944938834,0.830295354,-1.848900805,Hole,1
12,0.001899031,0.002084603,0.004223353,0.003741498,0.018906036,0.026517855,0.027075022,0.019268974,0.025384081,0.028707026,0.010944095,0.00520397,0.003337559,0.003074182,0.00618723,-2.052689737,-0.634343021,1.566134997,-0.127503833,0.234151304,0.175573873,0.495814413,0.843815762,0.635935188,0.374267682,0.050068057,-0.211970536,-2.97419671,0.827479565,-1.853276268,Hole,1
13,0.001898282,0.002074141,0.004219482,0.003745071,0.018901825,0.026540625,0.027065945,0.01922457,0.025408341,0.028696493,0.010932463,0.005214187,0.003378463,0.003048328,0.006192093,-2.054429738,-0.63586629,1.566025043,-0.123579693,0.233655069,0.175108546,0.495697691,0.843611209,0.635256731,0.3742778,0.049847495,-0.209783056,-2.975996045,0.832414613,-1.855375947,Hole,1
14,0.001900873,0.002084181,0.004219419,0.003743472,0.018884952,0.026521936,0.027072344,0.019240744,0.025418427,0.028696695,0.010938154,0.005215509,0.00333034,0.003041568,0.00619598,-2.05286873,-0.634612193,1.566807289,-0.125070317,0.233268492,0.175133375,0.496087581,0.843630045,0.63685228,0.373664375,0.050498179,-0.209672407,-2.949581381,0.833781102,-1.858369048,Hole,1
15,0.001693658,0.00158298,0.002892434,0.004240374,0.017851474,0.021709653,0.027086368,0.023871995,0.023151843,0.030947721,0.022361053,0.006600134,0.003648161,0.002048396,0.00226184,-2.321073125,-0.539325104,2.561096655,0.220531572,0.487469625,0.328683289,0.389010927,0.545570812,0.489714067,0.252911309,0.230368844,-1.982825518,-2.979850612,-0.246662229,-1.789013616,Hole,2
16,0.001689374,0.001581058,0.002898123,0.004243159,0.017879608,0.021741552,0.027093261,0.023871039,0.02312609,0.030988736,0.022366411,0.006602263,0.003641448,0.002044942,0.002279206,-2.320910339,-0.540199573,2.559972274,0.215467175,0.487186056,0.329093612,0.38806083,0.545142026,0.489170869,0.253140461,0.229372452,-1.981831918,-2.977786856,-0.246907815,-1.802526139,Hole,2
17,0.001685591,0.001582425,0.002897809,0.004260215,0.017857209,0.021742333,0.027098413,0.02389325,0.023153158,0.030993128,0.02236551,0.006598776,0.003635595,0.002050745,0.002275892,-2.319194525,-0.54083262,2.560701119,0.209243029,0.490813461,0.328934554,0.387877702,0.544523479,0.490296547,0.255166315,0.231973113,-1.981326401,-2.976304826,-0.243543043,-1.804918299,Hole,2
18,0.001690255,0.001584478,0.002900832,0.004248762,0.017831583,0.021746296,0.027080757,0.023878406,0.023166356,0.031048597,0.022347343,0.006599832,0.00363795,0.002048158,0.002266702,-2.318964362,-0.539007511,2.560969261,0.212971525,0.489367972,0.329411999,0.387613875,0.544204311,0.490880468,0.25611173,0.23121334,-1.983626813,-2.976439158,-0.24377798,-1.804516082,Hole,2
19,0.001689891,0.001584224,0.00289636,0.004227784,0.017856461,0.021758194,0.027100317,0.023900992,0.023163944,0.031036639,0.022337683,0.006602541,0.003640578,0.00205404,0.002269153,-2.318456773,-0.541158933,2.559552361,0.211975973,0.487788846,0.329096265,0.387435892,0.544049184,0.490573572,0.255214425,0.228957086,-1.982765369,-2.978214762,-0.243627084,-1.80796565,Hole,2
20,0.001682169,0.001581463,0.002900013,0.004242275,0.017864971,0.021752019,0.027102869,0.023912143,0.023178576,0.031042824,0.02230883,0.006604005,0.003639754,0.002119722,0.002259916,-2.319845573,-0.538768081,2.560335052,0.211207395,0.488405028,0.329347512,0.387996989,0.543411641,0.491937006,0.254154778,0.227380749,-1.982134031,-2.97440991,-0.24360369,-1.814196746,Hole,2
21,0.00168277,0.001585839,0.002898682,0.004218963,0.017843752,0.021738986,0.02711011,0.023887192,0.023159369,0.03101552,0.022295131,0.006607994,0.003628962,0.002091435,0.002256213,-2.314949276,-0.541077561,2.55966625,0.212513729,0.489407835,0.329367827,0.38706782,0.543017238,0.49120714,0.254603181,0.228046305,-1.981489621,-2.974337487,-0.254589161,-1.814104852,Hole,2
22,0.001675852,0.001583235,0.002909383,0.004222931,0.01784735,0.021747474,0.027105401,0.023885463,0.02314917,0.031055872,0.022312623,0.006603326,0.003625936,0.002118735,0.002251856,-2.31335106,-0.539560996,2.56027609,0.20835032,0.489458989,0.328983391,0.387535094,0.542612317,0.49111188,0.255242643,0.229293814,-1.981773429,-2.972650725,-0.249165366,-1.817382375,Hole,2
23,0.001667794,0.001583401,0.00290561,0.004228872,0.017858733,0.021742602,0.027112655,0.023884353,0.02315916,0.03103149,0.022295735,0.006602033,0.003631115,0.002114215,0.002247242,-2.314339417,-0.536933705,2.559431633,0.209417046,0.488203978,0.329802249,0.387136372,0.542429314,0.491655014,0.2549571,0.229520046,-1.981698887,-2.974838813,-0.258319071,-1.815921439,Hole,2
24,0.001668234,0.001583315,0.002903395,0.004206448,0.017862712,0.021755113,0.027097501,0.023896639,0.02315459,0.031077508,0.022276478,0.006605222,0.003623606,0.002112484,0.002246052,-2.315742433,-0.537208012,2.559782297,0.210190915,0.488759536,0.329698204,0.386804181,0.542512823,0.491336578,0.257295032,0.229296178,-1.980429132,-2.974921133,-0.250251292,-1.820552109,Hole,2
25,0.001674476,0.00158222,0.002905024,0.004210618,0.017852741,0.021748181,0.027104625,0.023874106,0.023155843,0.03105066,0.022284521,0.006607118,0.003614677,0.002109825,0.002241351,-2.314366852,-0.539884411,2.557165266,0.206487058,0.48918483,0.33019978,0.387229681,0.541854337,0.492112163,0.257627321,0.229989944,-1.980912288,-2.972906152,-0.247713048,-1.819676222,Hole,2
26,0.001667862,0.001579844,0.002907907,0.004220279,0.017849732,0.021757439,0.027088691,0.023872391,0.023139772,0.031081747,0.022282043,0.006603379,0.003615462,0.00211053,0.002238208,-2.313208795,-0.538263024,2.558491534,0.207071044,0.488521599,0.329535631,0.386868358,0.542235751,0.490426768,0.257391547,0.230686635,-1.980327899,-2.971428575,-0.267060327,-1.820104262,Hole,2
